"Atomic Number (Z)","Atomic Mass (A)","Level Index","Element","Level Energy (Modifier)","Level Energy","Level Energy (Unit)","Level Energy (Error)","Spin-Parity","Half-Life (Modifier)","Half-Life","Half-Life (Unit)","Half-Life (Error)","Decay Width (Modifier)","Decay Width","Decay Width (Unit)","Decay Width (Error)","Abundance (Modifier)","Abundance","Abundance (Error)","Mass Excess","Mass Excess (Unit)","Mass Excess (Error)","Decay Modes",
1,1,0,H,,0,keV,,"1/2+",,STABLE,,,,,,,,99.972 - 99.999,,7288.971064,keV,0.000013,,
1,2,0,H,,0,keV,,"1+",,STABLE,,,,,,,,0.001 - 0.028,,13135.722895,keV,0.000015,,
1,3,0,H,,0,keV,,"1/2+",,12.3221,y,0.0106,,,,,,,,14949.8109,keV,0.00008,"B- = 100 ",
1,4,0,H,,0,keV,,"2-",,,,,,3.3,MeV,0.3,,,,24621.129,keV,100,"N = 100 ",
1,5,0,H,,0,keV,,"(1/2+)",,,,,,5.3,MeV,0.4,,,,32892.447,keV,89.443,"2N =~ 100 ",
1,6,0,H,,0,keV,0,,,,,,,1.5,MeV,0.3,,,,41875.725,keV,254.127,,
1,7,0,H,,0,keV,0,"1/2+",,,,,,0.18,MeV,+0.47-0.13,,,,49135,keV,1004,"2N?",
2,3,0,He,,0,keV,,"1/2+",,STABLE,,,,,,,,0.0002,0.0002,14931.21888,keV,0.00006,,
2,4,0,He,,0,keV,,"0+",,STABLE,,,,,,,,99.9998,0.0002,2424.91587,keV,0.00015,,
2,5,0,He,,0,keV,,"3/2-",,,,,,719,keV,48,,,,11231.234,keV,20,"N = 100 0",
2,6,0,He,,0,keV,,"0+",,807.12,ms,0.17,,,,,,,,17592.095,keV,0.053,"B- = 100 ",
2,7,0,He,,0,keV,,"(3/2)-",,,,,,195,keV,4,,,,26073.128,keV,7.559,"N = 100 0",
2,8,0,He,,0,keV,0,"0+",,119,ms,1.6,,,,,,,,31609.683,keV,0.089,"B- = 100 0,B-N = 16 1",
2,9,0,He,,0,keV,,"1/2+",,,,,,180,keV,100,,,,40935.826,keV,46.816,"N = 100 ",
2,10,0,He,,0,keV,,"0+",,,,,,1.8,MeV,0.3,,,,49197.147,keV,92.848,"2N = 100 0",
3,4,0,Li,,0,keV,,"2-",,,,,,5,MeV,0.5,,,,25323.19,keV,212.132,"P = 100 ",
3,5,0,Li,,0,keV,,"3/2-",,,,,,1.23,MeV,0,,,,11678.887,keV,50,"P = 100 0",
3,6,0,Li,,0,keV,,"1+",,STABLE,,,,,,,,1.9 - 7.8,,14086.88044,keV,0.00144,,
3,7,0,Li,,0,keV,,"3/2-",,STABLE,,,,,,,,92.2 - 98.1,,14907.10463,keV,0.00419,,
3,8,0,Li,,0,keV,,"2+",,838.79,ms,0.35,,,,,,,,20945.805,keV,0.047,"B- = 100 ,B-A = 100 0",
3,9,0,Li,,0,keV,0,"3/2-",,178,ms,0.3,,,,,,,,24954.905,keV,0.186,"B- = 100 0,B-A = 12.3 0.9,B-N = 51 0.9",
3,10,0,Li,,0,keV,2.5,"(1-),(2-)",,,,,,0.23,MeV,,,,,33052.628,keV,12.964329562302865,"N = 100 ",
3,11,0,Li,,0,keV,0,"3/2-",,8.75,ms,0.1,,,,,,,,40728.259,keV,0.615,"B- = 100 0,B-N = 84.3 1.3,B-2N = 4.2 0.3,B-3N = 1.9 0.2,B-A = 1.7 0.3",
3,12,0,Li,,0,keV,,"(1-),(2-)",,,,,,,,,,,,49009.577,keV,30.006,"N = 100 ",
3,13,0,Li,,0,keV,0,,,,,,,125,keV,+60-40,,,,56980.895,keV,70.003,"2N = 100 0",
4,6,0,Be,,0,keV,,"0+",,,,,,92,keV,6,,,,18375.034,keV,5.448,"2P = 100 ",
4,7,0,Be,,0,keV,,"3/2-",,53.3,d,0.1,,,,,,,,15768.998,keV,0.071,"EC = 100 ",
4,8,0,Be,,0,keV,,"0+",,,,,,5.57,eV,0.25,,,,4941.672,keV,0.035,"A = 100 ",
4,9,0,Be,,0,keV,,"3/2-",,STABLE,,,,,,,,100,0,11348.451,keV,0.076,,
4,10,0,Be,,0,keV,,"0+",,1385587,y,11581,,,,,,,,12607.487,keV,0.081,"B- = 100 ",
4,11,0,Be,,0,keV,0,"1/2+",,13.77,s,0.07,,,,,,,,20177.169,keV,0.238,"B- = 100 0,B-A = 3.3 0.1",
4,12,0,Be,,0,keV,0,"0+",,21.46,ms,0.05,,,,,,,,25077.761,keV,1.909,"B- = 100 0,B-N = 0.5 0.03",
4,13,0,Be,,0,keV,0,"(1/2-)",,,,,,450,keV,30,,,,33659.08,keV,10.18,"N?",
4,14,0,Be,,0,keV,0,"0+",,4.65,ms,0.12,,,,,,,,39954.502,keV,132.245,"B- = 100 0,B-N = 86 6,B-2N = 5 2,B-A = 0.004 ",
4,15,0,Be,,0,keV,,"(5/2+)",,,,,,580,keV,200,,,,49825.821,keV,165.797,"N = 100 0",
4,16,0,Be,,0,keV,,"0+",,,,,,0.8,MeV,+0.1-0.2,,,,57447.139,keV,165.797,"2N = 100 0",
5,7,0,B,,0,keV,,"(3/2-)",,,,,,801,keV,20,,,,27676.553,keV,25.15,"P =~ 100 ",
5,8,0,B,,0,keV,,"2+",,772.1,ms,1.1,,,,,,,,22921.569,keV,1,"EC+B+ = 100 ,ECA = 100 0",
5,9,0,B,,0,keV,,"3/2-",,,,,,540,eV,210,,,,12416.486,keV,0.903,"P = 100 ",
5,10,0,B,,0,keV,,"3+",,STABLE,,,,,,,,18.9 - 20.4,,12050.611,keV,0.015,,
5,11,0,B,,0,keV,,"3/2-",,STABLE,,,,,,,,79.6 - 81.1,,8667.708,keV,0.012,,
5,12,0,B,,0,keV,,"1+",,20.22,ms,0.04,,,,,,,,13369.398,keV,1.321,"B- = 100 ,B-A = 0.6 0.02",
5,13,0,B,,0,keV,0,"3/2-",,17.16,ms,0.18,,,,,,,,16561.948,keV,1,"B- = 100 0,B-N = 0.266 0.025",
5,14,0,B,,0,keV,0,"2-",,12.34,ms,0.27,,,,,,,,23663.686,keV,21.213,"B- = 100 0,B-N = 6.04 0.23",
5,15,0,B,,0,keV,0,"3/2-",,10.18,ms,0.35,,,,,,,,28957.379,keV,21.029,"B- = 100 0,B-N = 99.68 +0.08-1.6,B-2N = 1.5 ",
5,16,0,B,,0,keV,,,,,,,,100,keV,,,,,37111.699,keV,24.566,"N = 100 ",
5,17,0,B,,0,keV,0,"(3/2-)",,5.07,ms,0.05,,,,,,,,43716.322,keV,204.104,"B- = 100 0,B-N = 63 1,B-2N = 12 2,B-3N = 3.5 0.7,B-4N = 0.4 0.3",
5,18,0,B,,0,keV,,"(2-)",,,,,,,,,,,,51792.64,keV,204.165,"N = 100 ",
5,19,0,B,,0,keV,0,"(3/2-)",,2.92,ms,0.13,,,,,,,,59770.251,keV,525.363,"B- = 100 0,B-N = 71.8 +8.3-9.1,B-2N = 16 +5.6-4.8,B-3N = 9.1 ",
5,20,0,B,,0,keV,,"(1-),(2-)",,,,,,500,keV,,,,,69401.569,keV,546.357,"N = 100 ",
5,21,0,B,,0,keV,,"(3/2-)",,,,,,600,keV,,,,,78382.887,keV,558.664,"2N = 100 0",
6,8,0,C,,0,keV,,"0+",,,,,,130,keV,50,,,,35064.269,keV,18.243,"2P = 100 ",
6,9,0,C,,0,keV,,"3/2-",,126.5,ms,0.9,,,,,,,,28910.971,keV,2.137,"EC+B+ = 100 ,ECP = 62 1.9,ECA = 37.9 5.8",
6,10,0,C,,0,keV,,"0+",,19.3015,s,0.0018,,,,,,,,15698.673,keV,0.07,"EC+B+ = 100 ",
6,11,0,C,,0,keV,,"3/2-",,20.3401,m,0.0041,,,,,,,,10649.397,keV,0.06,"EC+B+ = 100 ",
6,12,0,C,,0,keV,,"0+",,STABLE,,,,,,,,98.84 - 99.04,,0,keV,0,,
6,13,0,C,,0,keV,,"1/2-",,STABLE,,,,,,,,0.96 - 1.16,,3125.00933,keV,0.00023,,
6,14,0,C,,0,keV,,"0+",,5686,y,22,,,,,,,,3019.89328,keV,0.00375,"B- = 100 ",
6,15,0,C,,0,keV,,"1/2+",,2.451,s,0.004,,,,,,,,9873.145,keV,0.8,"B- = 100 ",
6,16,0,C,,0,keV,0,"0+",,750,ms,5,,,,,,,,13694.133,keV,3.578,"B- = 100 0,B-N = 99.28 0.12",
6,17,0,C,,0,keV,0,"3/2+",,193,ms,5,,,,,,,,21031.88,keV,17.365,"B- = 100 0,B-N = 28.4 1.3,B-2N?",
6,18,0,C,,0,keV,0,"0+",,92,ms,2,,,,,,,,24919.266,keV,30,"B- = 100 0,B-N = 31.5 1.5,B-2N?",
6,19,0,C,,0,keV,0,"(1/2+)",,46.3,ms,2.3,,,,,,,,32413.754,keV,98.389,"B- = 100 0,B-N = 47 3,B-2N = 7 3",
